Date,Price,Open,High,Low,Change %
23/02/2004,4524.30,4515.00,4556.40,4515.00,0.21
20/02/2004,4515.00,4515.60,4549.60,4499.20,-0.01
19/02/2004,4515.60,4442.90,4517.30,4442.90,1.64
18/02/2004,4442.90,4461.50,4468.90,4442.90,-0.42
17/02/2004,4461.50,4408.10,4465.00,4397.30,1.21
16/02/2004,4408.10,4412.00,4412.90,4389.90,-0.09
13/02/2004,4412.00,4377.70,4423.90,4377.70,0.78
12/02/2004,4377.70,4396.00,4416.40,4370.20,-0.42
11/02/2004,4396.00,4404.90,4416.00,4377.30,-0.20
10/02/2004,4404.90,4434.40,4434.40,4400.80,-0.67
09/02/2004,4434.40,4402.70,4436.80,4402.70,0.72
06/02/2004,4402.70,4384.40,4407.50,4384.10,0.42
05/02/2004,4384.40,4398.50,4404.00,4378.40,-0.32
04/02/2004,4398.50,4390.60,4409.30,4369.10,0.18
03/02/2004,4390.60,4381.40,4392.10,4357.40,0.21
02/02/2004,4381.40,4390.70,4411.60,4366.90,-0.21
30/01/2004,4390.70,4411.50,4436.20,4390.70,-0.47
29/01/2004,4411.50,4468.10,4468.10,4410.20,-1.27
28/01/2004,4468.10,4447.00,4474.20,4426.80,0.47
27/01/2004,4447.00,4445.50,4479.50,4444.80,0.03
26/01/2004,4445.50,4460.80,4482.50,4432.90,-0.34
23/01/2004,4460.80,4476.80,4483.00,4438.60,-0.36
22/01/2004,4476.80,4511.20,4531.40,4476.80,-0.76
21/01/2004,4511.20,4499.30,4511.20,4486.90,0.26
20/01/2004,4499.30,4518.10,4527.50,4498.50,-0.42
19/01/2004,4518.10,4487.90,4526.30,4487.70,0.67
16/01/2004,4487.90,4456.10,4491.70,4456.10,0.71
15/01/2004,4456.10,4461.40,4474.00,4443.30,-0.12
14/01/2004,4461.40,4440.10,4464.50,4431.10,0.48
13/01/2004,4440.10,4449.60,4477.90,4436.60,-0.21
12/01/2004,4449.60,4466.30,4466.30,4443.40,-0.37
09/01/2004,4466.30,4494.20,4495.80,4445.10,-0.62
08/01/2004,4494.20,4473.00,4520.10,4473.00,0.47
07/01/2004,4473.00,4505.20,4512.10,4466.20,-0.71
06/01/2004,4505.20,4513.30,4522.90,4489.90,-0.18
05/01/2004,4513.30,4510.20,4515.20,4494.90,0.07
02/01/2004,4510.20,4476.90,4518.00,4476.90,0.74
31/12/2003,4476.90,4470.40,4491.80,4470.40,0.15
30/12/2003,4470.40,4457.50,4477.00,4452.80,0.29
29/12/2003,4457.50,4444.70,4460.90,4432.80,0.29
24/12/2003,4444.70,4440.90,4457.40,4432.90,0.09
23/12/2003,4440.90,4424.00,4440.90,4411.50,0.38
22/12/2003,4424.00,4412.30,4431.50,4392.40,0.27
19/12/2003,4412.30,4397.30,4427.80,4389.00,0.34
18/12/2003,4397.30,4354.20,4402.70,4347.70,0.99
17/12/2003,4354.20,4333.00,4366.50,4333.00,0.49
16/12/2003,4333.00,4348.00,4351.00,4329.00,-0.34
15/12/2003,4348.00,4347.60,4397.20,4347.60,0.01
12/12/2003,4347.60,4331.30,4366.80,4329.80,0.38
11/12/2003,4331.30,4335.40,4347.20,4316.20,-0.09
10/12/2003,4335.40,4379.60,4379.60,4312.50,-1.01
09/12/2003,4379.60,4359.80,4407.50,4359.80,0.45
08/12/2003,4359.80,4367.00,4367.30,4338.30,-0.16
05/12/2003,4367.00,4378.20,4385.40,4337.70,-0.26
04/12/2003,4378.20,4392.00,4392.00,4371.50,-0.31
03/12/2003,4392.00,4378.90,4401.60,4373.00,0.30
02/12/2003,4378.90,4410.00,4416.50,4359.90,-0.71
01/12/2003,4410.00,4342.60,4410.00,4342.60,1.55
28/11/2003,4342.60,4361.10,4380.20,4333.20,-0.42
27/11/2003,4361.10,4370.30,4390.40,4350.70,-0.21
26/11/2003,4370.30,4388.70,4423.60,4366.70,-0.42
25/11/2003,4388.70,4382.40,4409.40,4378.10,0.14
24/11/2003,4382.40,4319.00,4384.50,4319.00,1.47
